translation_, rotation_
0.000,50.000, 0.000
0.000,50.000, 0.000
0.007,50.000, 0.000
0.026,50.000, 0.000
0.059,50.000, 0.000
0.104,50.000, 0.000
0.163,50.000, 0.000
0.234,50.000, 0.000
0.319,50.000, 0.000
0.416,50.000, 0.000
0.527,50.000, 0.000
0.650,50.000, 0.000
0.786,50.000, 0.000
0.936,50.000, 0.000
1.098,50.000, 0.000
1.274,50.000, 0.000
1.462,50.000, 0.000
1.664,50.000, 0.000
1.878,50.000, 0.000
2.106,50.000, 0.000
2.346,50.000, 0.000
2.600,50.000, 0.000
2.866,50.000, 0.000
3.146,50.000, 0.000
3.438,50.000, 0.000
3.744,50.000, 0.000
4.062,50.000, 0.000
4.394,50.000, 0.000
4.738,50.000, 0.000
5.096,50.000, 0.000
5.466,50.000, 0.000
5.850,50.000, 0.000
6.246,50.000, 0.000
6.656,50.000, 0.000
7.078,50.000, 0.000
7.514,50.000, 0.000
7.962,50.000, 0.000
8.424,50.000, 0.000
8.899,50.000, 0.000
9.386,50.000, 0.000
9.887,50.000, 0.000
10.400,50.000, 0.000
10.927,50.000, 0.000
11.466,50.000, 0.000
12.019,50.000, 0.000
12.584,50.000, 0.000
13.163,50.000, 0.000
13.754,50.000, 0.000
14.359,50.000, 0.000
14.976,50.000, 0.000
15.607,50.000, 0.000
16.250,50.000, 0.000
16.907,50.000, 0.000
17.576,50.000, 0.000
18.259,50.000, 0.000
18.954,50.000, 0.000
19.663,50.000, 0.000
20.384,50.000, 0.000
21.119,50.000, 0.000
21.866,50.000, 0.000
22.627,50.000, 0.000
23.400,50.000, 0.000
24.187,50.000, 0.000
24.986,50.000, 0.000
25.799,50.000, 0.000
26.624,50.000, 0.000
27.463,50.000, 0.000
28.314,50.000, 0.000
29.178,50.000, 0.000
30.056,50.000, 0.000
30.947,50.000, 0.000
31.850,50.000, 0.000
32.767,50.000, 0.000
33.696,50.000, 0.000
34.639,50.000, 0.000
35.594,50.000, 0.000
36.563,50.000, 0.000
37.544,50.000, 0.000
38.539,50.000, 0.000
39.546,50.000, 0.000
40.567,50.000, 0.000
41.598,50.000, 0.000
42.641,50.000, 0.000
43.692,50.000, 0.000
44.753,50.000, 0.000
45.821,50.000, 0.000
46.897,50.000, 0.000
47.978,50.000, 0.000
49.066,50.000, 0.000
50.159,50.000, 0.000
51.256,50.000, 0.000
52.358,50.000, 0.000
53.464,50.000, 0.000
54.574,50.000, 0.000
55.686,50.000, 0.000
56.802,50.000, 0.000
57.920,50.000, 0.000
59.041,50.000, 0.000
60.164,50.000, 0.000
61.289,50.000, 0.000
62.416,50.000, 0.000
63.544,50.000, 0.000
64.674,50.000, 0.000
65.805,50.000, 0.000
66.938,50.000, 0.000
68.071,50.000, 0.000
69.206,50.000, 0.000
70.342,50.000, 0.000
71.478,50.000, 0.000
72.615,50.000, 0.000
73.753,50.000, 0.000
74.891,50.000, 0.000
76.030,50.000, 0.000
77.170,50.000, 0.000
78.309,50.000, 0.000
79.450,50.000, 0.000
80.590,50.000, 0.000
81.731,50.000, 0.000
82.873,50.000, 0.000
84.014,50.000, 0.000
